nombre,descripcion,municipio_id
Ópticas y consultorios oftalmológicos,"Elaboración y venta de lentes, anteojos y exámenes de la vista",Huixquilucan
Academia de arte,Clases de pintura y escultura,Huixquilucan
Actuación,Clases de actuación,Huixquilucan
Artes marciales,Clases de artes marciales y disciplinas afines,Huixquilucan
Baile,Clases de baile en general,Huixquilucan
Centro de computo,Clases de computación,Huixquilucan
Modelaje,Clases de modelaje,Huixquilucan
Fotografía,Clases de fotografía,Huixquilucan
Gimnasio,"Clases de spinning, yoga, aerobics, pesas, etc. (metros cuadrados)",Huixquilucan
Manualidades,Clases de manualidades,Huixquilucan
Música,Clases de música en general,Huixquilucan
Estacionamientos horizontales y verticales,Servicio de estacionamiento con o sin chofer,Huixquilucan
Arquitectos e ingenieros civiles,"Encargados del diseño, construcción y mantenimiento de las infraestructuras emplazadas en el entorno",Huixquilucan
Bufete jurídico,"Apoyo en cualquier asunto jurídico, legal, penal y fiscal de cualquier materia",Huixquilucan
Compañía de seguros,"Empresa  cuya actividad económica consiste en producir el servicio de seguridad, cubriendo determinados riesgos económicos (riesgos asegurables) a las unidades económicas de producción y consumo",Huixquilucan
Consultorías,"Empresas de servicios profesionales con experiencia o conocimiento especifico en un área, que asesoran a otras empresas, a grupos de empresas, a países o a organizaciones en general",Huixquilucan
Diseño gráfico serigrafía rótulos,Prestación de servicios en diseño grafico,Huixquilucan
Diseño industrial,Diseño de productos seriados y/o industriales,Huixquilucan
Agencia de publicidad,"Servicios de asesoría y/o consultoría para la industria, comercio y servicios",Huixquilucan
Escuelas de manejo,Servicio de entrenamiento para conducir,Huixquilucan
Ingeniería industrial,"Desarrollo, mejora, implantación y evaluación de sistemas integrados de gente, riqueza, conocimientos, información, equipamiento, energía, materiales y procesos",Huixquilucan
Interpretes traductores,Impartición de clases de manera grupal y/o personal,Huixquilucan
Marketing,"Identificación de necesidades y deseos del mercado objetivo, la formulación de objetivos orientados al consumidor, la construcción de estrategias que creen un valor superior, la implantación de relaciones con el consumidor y la retención del valor del consumidor para alcanzar beneficios",Huixquilucan
