nombre,giro,horario,direccion,latitud,longitud,ciudad
FERRETERIA DANY,FERRETERÍA / TLAPALERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,AVENIDA 20 DE NOVIEMBRE S/N,19.2129754,-98.965739,Chalco
CONSULTORIO MEDICO,CONSULTORIO DE ESPECIALIDADES MÉDICAS,24 horas del día de Lunes a Domingo,H. GALEANA MZ 33 LT 15 C.P. 56600,19.2767647,-98.891125,Chalco
FARMACIA DE MEDICAMENTOS GENERICOS,FARMACIA,24 horas del día de Lunes a Domingo,H. GALEANA MZ 33 LT 15 C.P. 56600,19.2767545,-98.891061,Chalco
FRUTI-SANO,LONCHERÍA,De 06:00 a 24:00 horas de Lunes a Domingo,CUAUHTEMOC 24-B C.P. 56600,19.2647279,-98.8987,Chalco
ELLA FASHION,PRODUCTOS DE BELLEZA,De 06:00 a 23:00 horas de Lunes a Domingo,RIVA PALACIO 2B C.P. 56600,19.2624946,-98.897611,Chalco
ZAMORA ZAMORA MARIA CRISTINA,FARMACIA,De 06:00 a 23:00 horas de Lunes a Domingo,C PORFIRIO DIAZ 11 LA CANDELARIA TLAPALA 56641,19.2409809,-98.850098,Chalco
ESTETICA UNISEX KARLA,SALÓN DE BELLEZA/ ESTÉTICA,De 06:00 a 23:00 horas de Lunes a Domingo,C.BODEGAS 23 COL.LA BOMBA 56600,19.2669864,-98.893674,Chalco
LOS DOS HERMANOS,ABARROTES ( TIENDITAS MISCELEANEAS MINISUPER ),De 07:00 a 23:00 horas de Lunes a Domingo,MORELOS # 40,19.2559922,-98.826066,Chalco
LA BOINITA,ARTÍCULOS DE PLÁSTICO,De 06:00 a 23:00 horas de Lunes a Domingo,C. 5 DE MAYO 3 B SAN PABLO ATLAZALPAN,19.2182284,-98.907369,Chalco
ÓPTICA INTERLOMAS,ÓPTICA,De 06:00 a 23:00 horas de Lunes a Domingo,CALLE VICENTE GUERRERO N°. 25 COLONIA EJIDAL LOCALES 64 Y 65 F,19.2630897,-98.897202,Chalco
CARNICERIA SAN FRANCISCO,CARNICERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,MATAMOROS 15B,19.2603677,-98.897927,Chalco
OPTICA INTERLOMAS,ÓPTICA,De 06:00 a 23:00 horas de Lunes a Domingo,VICENTE GUERRERO # 25 LOCALES 64 Y 65 F PLAZA CHALCO 2000,19.2631656,-98.897231,Chalco
JUGUETERIA ISAAC,TIENDA DE  JUGUETES,De 06:00 a 23:00 horas de Lunes a Domingo,LACANDONES MZ.-42 LT.1  CULTURAS DE MÉXICO CHALCO II,19.2671282,-98.909807,Chalco
CARNICERIA Y TOCINERIA MEXICANA,CARNICERÍA,De 06:00 a 23:00 horas de Lunes a Domingo,MATAMOROS 10 ALZATE Y JOSE MA. MORELOS CHALCO CENTRO,19.2599524,-98.89775,Chalco
